City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
313,La Ronge,55.1001,-105.2842,65.48,70,100,6.31,CA,overcast clouds
314,Sao Francisco,-15.9486,-44.8644,78.35,27,100,6.51,BR,overcast clouds
315,Ha Giang,22.8333,104.9833,81.5,86,100,2.77,VN,overcast clouds
316,Broome,42.2506,-75.833,86.05,65,75,1.01,US,broken clouds
317,Nadym,65.5333,72.5167,63.3,70,24,8.66,RU,few clouds
318,Xuddur,4.1213,43.8894,73.08,69,99,20.89,SO,overcast clouds
319,Umm Kaddadah,13.6017,26.6876,83.28,48,64,12.15,SD,broken clouds
320,Sabzevar,36.2126,57.6819,83.95,17,0,6.6,IR,clear sky
321,Thomaston,32.8882,-84.3266,91.06,60,65,1.01,US,broken clouds
322,Mahalingpur,16.3833,75.1167,73.11,84,8,10.65,IN,clear sky
323,Puerto Escondido,15.85,-97.0667,86.83,66,90,13.8,MX,overcast clouds
324,Vrangel,42.7297,133.0839,69.31,93,44,8.7,RU,scattered clouds
325,Palmas,-10.2128,-48.3603,91.27,31,40,8.05,BR,scattered clouds
326,Alofi,-19.0595,-169.9187,75.09,73,40,10.36,NU,scattered clouds
327,Ocampo,21.65,-101.5,71.74,51,28,12.62,MX,scattered clouds
328,Wanning,18.8003,110.3967,81.34,89,100,10.0,CN,overcast clouds
329,Roald,62.5833,6.1333,68.05,67,0,2.3,NO,clear sky
330,Monroe,43.1501,-77.6831,88.29,62,75,6.91,US,broken clouds
331,Stepnogorsk,52.3544,71.8869,62.87,85,100,10.27,KZ,light rain
332,Lima,-12.0432,-77.0282,62.85,68,90,10.36,PE,overcast clouds
333,Lhokseumawe,5.1801,97.1507,77.5,87,81,3.56,ID,broken clouds
334,Saldanha,-33.0117,17.9442,56.77,73,100,6.26,ZA,overcast clouds
335,Matiri,-10.75,34.9,57.18,53,0,2.71,TZ,clear sky
336,Jian,27.1172,114.9793,79.47,91,4,2.51,CN,light rain
337,Bonga,7.2833,36.2333,58.98,98,100,1.95,ET,overcast clouds
338,Altagracia De Orituco,9.8601,-66.3814,82.22,69,79,2.26,VE,broken clouds
339,Tucuman,-26.8241,-65.2226,80.6,28,2,4.61,AR,clear sky
340,Port Hardy,50.6996,-127.4199,59.27,92,48,3.98,CA,light rain
341,Port Augusta,-32.5,137.7667,42.71,75,0,4.56,AU,clear sky
342,Behbahan,30.5959,50.2417,94.28,34,3,1.77,IR,clear sky
343,Maceio,-9.6658,-35.7353,76.44,69,75,10.36,BR,broken clouds
